epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,20921.5,0.42928,0.3674,0.94819,0.6093,0.86337,0.71709,0.64472,0.5125,0.72181,1.06692,0.000970634,0.000970634,0.000970634
83,21178.1,0.42176,0.38284,0.94885,0.66842,0.71062,0.69862,0.62702,0.52598,0.75348,1.08049,0.000964975,0.000964975,0.000964975
84,21430.7,0.42607,0.38607,0.95119,0.76821,0.69715,0.71688,0.6359,0.48781,0.76318,1.06327,0.000959316,0.000959316,0.000959316
85,21683.1,0.42317,0.36283,0.9432,0.68076,0.79539,0.76739,0.69719,0.50868,0.65914,1.08068,0.000953657,0.000953657,0.000953657
86,21935.9,0.40868,0.37372,0.93923,0.68026,0.81213,0.6965,0.63593,0.47564,0.78726,1.03343,0.000947999,0.000947999,0.000947999
87,22188.7,0.406,0.36976,0.94031,0.68142,0.76301,0.69433,0.62385,0.49923,0.7299,1.1017,0.00094234,0.00094234,0.00094234
88,22442.1,0.40393,0.37305,0.94476,0.78506,0.76191,0.71059,0.64779,0.51773,0.72773,1.09097,0.000936681,0.000936681,0.000936681
89,22696,0.40841,0.3659,0.93256,0.73021,0.70958,0.6839,0.63199,0.48771,0.80361,1.05006,0.000931022,0.000931022,0.000931022
90,22949.1,0.41585,0.36413,0.93891,0.73491,0.76283,0.74303,0.68567,0.47268,0.68325,1.03885,0.000925363,0.000925363,0.000925363
91,23202,0.40113,0.35842,0.93744,0.65808,0.75197,0.74413,0.68894,0.47167,0.66465,1.0653,0.000919704,0.000919704,0.000919704
92,23455.7,0.40277,0.35515,0.93731,0.73985,0.71763,0.70341,0.65628,0.46668,0.75065,1.0676,0.000914046,0.000914046,0.000914046
93,23708.6,0.3966,0.34762,0.93877,0.85232,0.72573,0.72093,0.66678,0.46049,0.82355,1.03188,0.000908387,0.000908387,0.000908387
94,23961.8,0.4153,0.3536,0.94883,0.74548,0.72647,0.72547,0.67414,0.46655,0.70203,1.03352,0.000902728,0.000902728,0.000902728
95,24215.8,0.41363,0.34991,0.9389,0.72472,0.71709,0.66731,0.60418,0.49043,0.79562,1.07164,0.000897069,0.000897069,0.000897069
96,24470.5,0.40586,0.35105,0.9393,0.64714,0.75285,0.73675,0.6901,0.44629,0.87067,1.0087,0.00089141,0.00089141,0.00089141
97,24727,0.3981,0.34496,0.93181,0.66274,0.80689,0.68398,0.6258,0.51095,0.78889,1.05784,0.000885751,0.000885751,0.000885751
98,24980.7,0.39891,0.35924,0.94194,0.70029,0.81045,0.73375,0.69105,0.45259,0.72655,1.03081,0.000880093,0.000880093,0.000880093
99,25234.4,0.39623,0.3554,0.93097,0.64434,0.77347,0.75849,0.70438,0.49231,0.69081,1.06429,0.000874434,0.000874434,0.000874434
100,25487.4,0.39447,0.34418,0.93643,0.69471,0.73918,0.72136,0.66989,0.4671,0.71862,1.042,0.000868775,0.000868775,0.000868775
101,25740.3,0.40371,0.34579,0.93248,0.66247,0.78888,0.67681,0.60608,0.49181,0.78652,1.03292,0.000863116,0.000863116,0.000863116
102,25993.8,0.38588,0.33224,0.92853,0.72661,0.72273,0.72041,0.65564,0.52263,0.8159,1.08071,0.000857457,0.000857457,0.000857457
103,26250.7,0.40756,0.36161,0.94477,0.72295,0.76371,0.69049,0.62624,0.49905,0.82071,1.06534,0.000851798,0.000851798,0.000851798
104,26503.7,0.4008,0.33594,0.93313,0.62342,0.80683,0.66104,0.61426,0.48083,0.85408,1.05881,0.000846139,0.000846139,0.000846139
105,26757.3,0.39395,0.33799,0.94206,0.7858,0.7661,0.74031,0.68349,0.4694,0.70161,1.04445,0.000840481,0.000840481,0.000840481
106,27010.8,0.41385,0.33186,0.94156,0.69874,0.70482,0.70656,0.65721,0.47503,0.74797,1.0425,0.000834822,0.000834822,0.000834822
107,27263.6,0.39257,0.34136,0.92907,0.76023,0.68912,0.72999,0.66408,0.48522,0.69514,1.06524,0.000829163,0.000829163,0.000829163
108,27516,0.39349,0.35046,0.93057,0.64778,0.7375,0.72185,0.66215,0.49344,0.88995,1.06329,0.000823504,0.000823504,0.000823504
109,27769.2,0.38833,0.327,0.93262,0.76281,0.78527,0.70092,0.64904,0.48462,0.82815,1.04127,0.000817845,0.000817845,0.000817845
110,28022.6,0.3829,0.32426,0.92566,0.79687,0.65746,0.71915,0.65933,0.50875,0.77739,1.07622,0.000812186,0.000812186,0.000812186
111,28279.1,0.38032,0.33278,0.9304,0.79764,0.659,0.73709,0.68662,0.47555,0.70333,1.03528,0.000806528,0.000806528,0.000806528
112,28531.6,0.3873,0.33872,0.93007,0.6978,0.80201,0.73138,0.66176,0.47079,0.73585,1.03891,0.000800869,0.000800869,0.000800869
113,28784,0.37785,0.32075,0.92852,0.61413,0.76081,0.72784,0.68144,0.47872,0.70657,1.03329,0.00079521,0.00079521,0.00079521
114,29036.5,0.38643,0.32662,0.92661,0.76735,0.72434,0.71675,0.66581,0.47918,0.76681,1.04533,0.000789551,0.000789551,0.000789551
115,29289,0.38388,0.31616,0.93363,0.69513,0.7973,0.72121,0.66535,0.46867,0.73199,1.01621,0.000783892,0.000783892,0.000783892
116,29541.7,0.37962,0.32668,0.92916,0.769,0.7503,0.76159,0.68693,0.47803,0.71898,1.04399,0.000778233,0.000778233,0.000778233
117,29795.3,0.38929,0.32364,0.9312,0.65768,0.76879,0.74862,0.68284,0.47904,0.69215,1.04617,0.000772575,0.000772575,0.000772575
118,30047.8,0.38251,0.32023,0.93145,0.72605,0.73041,0.70513,0.65878,0.45623,0.8111,1.00343,0.000766916,0.000766916,0.000766916
119,30301.4,0.36619,0.30641,0.92072,0.66496,0.77189,0.71508,0.65947,0.46455,0.73865,1.03622,0.000761257,0.000761257,0.000761257
120,30554,0.38543,0.3121,0.92855,0.78746,0.66702,0.72478,0.67234,0.45085,0.73256,1.03076,0.000755598,0.000755598,0.000755598
121,30807.4,0.36973,0.31053,0.92541,0.7969,0.72005,0.71759,0.6752,0.45074,0.71546,1.03278,0.000749939,0.000749939,0.000749939
122,31060.3,0.37863,0.32243,0.92076,0.755,0.73795,0.68602,0.63836,0.48222,0.84241,1.05353,0.00074428,0.00074428,0.00074428
123,31312.3,0.37093,0.30686,0.92194,0.62999,0.74496,0.67622,0.62789,0.47078,0.80472,1.05685,0.000738622,0.000738622,0.000738622
124,31566.6,0.38373,0.32037,0.92982,0.84022,0.72019,0.69418,0.64462,0.45315,0.81614,1.01978,0.000732963,0.000732963,0.000732963
125,31821.7,0.36871,0.311,0.92486,0.68721,0.77208,0.714,0.66814,0.48884,0.79466,1.05797,0.000727304,0.000727304,0.000727304
126,32074.8,0.37284,0.31125,0.92637,0.83413,0.71307,0.7177,0.65969,0.51344,0.7552,1.08446,0.000721645,0.000721645,0.000721645
127,32327.4,0.36627,0.30416,0.91952,0.76831,0.69221,0.73659,0.68356,0.47015,0.77686,1.05567,0.000715986,0.000715986,0.000715986
128,32580.7,0.36724,0.30274,0.92431,0.84991,0.70351,0.71537,0.65175,0.48245,0.79106,1.04832,0.000710327,0.000710327,0.000710327
129,32832.7,0.36321,0.30493,0.92319,0.77196,0.70909,0.75199,0.68998,0.48065,0.6924,1.0435,0.000704668,0.000704668,0.000704668
130,33086,0.35959,0.30881,0.91882,0.86264,0.70261,0.75913,0.69041,0.48378,0.65745,1.03813,0.00069901,0.00069901,0.00069901
131,33340.9,0.37127,0.30474,0.92274,0.78001,0.6887,0.75356,0.68796,0.51363,0.72923,1.09217,0.000693351,0.000693351,0.000693351
132,33593.3,0.36977,0.30577,0.92949,0.72774,0.81373,0.73145,0.67858,0.49685,0.72749,1.05888,0.000687692,0.000687692,0.000687692
133,33845.7,0.36444,0.30016,0.91866,0.77104,0.68171,0.74428,0.68324,0.49811,0.77289,1.07634,0.000682033,0.000682033,0.000682033
134,34098.4,0.35756,0.3001,0.92295,0.85738,0.74648,0.72304,0.66192,0.48783,0.77695,1.06303,0.000676374,0.000676374,0.000676374
135,34351.3,0.36457,0.29269,0.92452,0.76607,0.75125,0.73193,0.66166,0.53077,0.71606,1.08545,0.000670715,0.000670715,0.000670715
136,34604.3,0.35451,0.2917,0.91675,0.70795,0.80712,0.72123,0.66191,0.4839,0.73326,1.04261,0.000665057,0.000665057,0.000665057
137,34872.2,0.36325,0.28682,0.92015,0.73749,0.75188,0.70791,0.65763,0.47175,0.73361,1.02312,0.000659398,0.000659398,0.000659398
138,35153.2,0.36524,0.29547,0.923,0.8212,0.72897,0.71769,0.65757,0.47506,0.71226,1.04944,0.000653739,0.000653739,0.000653739
139,35429.6,0.35915,0.29228,0.91683,0.66492,0.83406,0.732,0.66951,0.48506,0.70558,1.0722,0.00064808,0.00064808,0.00064808
140,35683.5,0.35855,0.29343,0.92275,0.72611,0.78353,0.70439,0.65119,0.48065,0.80297,1.04519,0.000642421,0.000642421,0.000642421
141,35937.6,0.35531,0.2931,0.92123,0.79351,0.7049,0.68237,0.63879,0.47167,0.78905,1.03219,0.000636762,0.000636762,0.000636762
142,36191.7,0.35953,0.2919,0.91628,0.71203,0.72712,0.71466,0.66383,0.47563,0.74371,1.03725,0.000631104,0.000631104,0.000631104
143,36445,0.34701,0.27751,0.91207,0.73742,0.69266,0.72026,0.67228,0.47329,0.80897,1.03423,0.000625445,0.000625445,0.000625445
144,36698.6,0.34968,0.28926,0.91755,0.84409,0.68157,0.70257,0.65547,0.46826,0.76302,1.03808,0.000619786,0.000619786,0.000619786
145,36952.8,0.36778,0.28837,0.92542,0.64255,0.82886,0.7376,0.67974,0.47553,0.68124,1.0285,0.000614127,0.000614127,0.000614127
146,37206.1,0.34991,0.2793,0.91372,0.63055,0.75014,0.74471,0.69188,0.46504,0.78888,1.02099,0.000608468,0.000608468,0.000608468
